id,Product,Facility,Year,Season,Energy_Use_kWh,Water_Use_L,CO2_Emissions_kg,Waste_kg,Units_Produced,CO2_per_unit,Energy_per_unit,Water_per_unit,Waste_per_unit,Efficiency_Score,Product_Category
26,Cream Cheese,Aarhus Plant,2021,Winter,1743,3486,220,35,430,0.51,4.05,8.11,0.08,1.9,Cheese Products
27,Cream Cheese,Odense Plant,2021,Winter,1959,3918,247,39,464,0.53,4.22,8.44,0.08,1.83,Cheese Products
28,Cream Cheese,Aalborg Plant,2021,Winter,2160,4319,273,43,492,0.55,4.39,8.78,0.09,1.77,Cheese Products
29,Greek Yogurt,Copenhagen Plant,2021,Winter,1561,6243,130,30,801,0.16,1.95,7.79,0.04,2.73,Yogurt Products
30,Greek Yogurt,Aarhus Plant,2021,Winter,1645,6580,137,32,809,0.17,2.03,8.13,0.04,2.7,Yogurt Products
31,Greek Yogurt,Odense Plant,2021,Winter,1860,7442,155,36,879,0.18,2.12,8.47,0.04,2.66,Yogurt Products
32,Greek Yogurt,Aalborg Plant,2021,Winter,1962,7847,163,38,891,0.18,2.2,8.81,0.04,2.64,Yogurt Products
33,Regular Yogurt,Copenhagen Plant,2021,Winter,1598,6792,135,30,999,0.14,1.6,6.8,0.03,2.85,Yogurt Products
34,Regular Yogurt,Aarhus Plant,2021,Winter,1492,6342,126,28,894,0.14,1.67,7.09,0.03,2.83,Yogurt Products
35,Regular Yogurt,Odense Plant,2021,Winter,1654,7028,140,31,951,0.15,1.74,7.39,0.03,2.8,Yogurt Products
36,Regular Yogurt,Aalborg Plant,2021,Winter,1544,6563,130,29,854,0.15,1.81,7.69,0.03,2.78,Yogurt Products
37,Flavored Yogurt,Copenhagen Plant,2021,Winter,1513,6050,125,29,827,0.15,1.83,7.32,0.04,2.77,Yogurt Products
38,Flavored Yogurt,Aarhus Plant,2021,Winter,1823,7291,151,34,955,0.16,1.91,7.63,0.04,2.74,Yogurt Products
39,Flavored Yogurt,Odense Plant,2021,Winter,1902,7608,158,36,956,0.17,1.99,7.96,0.04,2.71,Yogurt Products
40,Flavored Yogurt,Aalborg Plant,2021,Winter,1798,7191,149,34,869,0.17,2.07,8.28,0.04,2.68,Yogurt Products
41,Salted Butter,Copenhagen Plant,2021,Winter,1383,1874,187,25,310,0.6,4.46,6.05,0.08,1.73,Butter Products
42,Salted Butter,Aarhus Plant,2021,Winter,1399,1895,190,25,301,0.63,4.65,6.3,0.08,1.66,Butter Products
43,Salted Butter,Odense Plant,2021,Winter,1524,2065,206,28,315,0.65,4.84,6.56,0.09,1.58,Butter Products
44,Salted Butter,Aalborg Plant,2021,Winter,1658,2246,225,30,329,0.68,5.04,6.83,0.09,1.51,Butter Products
45,Unsalted Butter,Copenhagen Plant,2021,Winter,1430,1906,195,25,352,0.55,4.06,5.41,0.07,1.88,Butter Products
46,Unsalted Butter,Aarhus Plant,2021,Winter,1536,2048,210,27,363,0.58,4.23,5.64,0.07,1.82,Butter Products
47,Unsalted Butter,Odense Plant,2021,Winter,1382,1843,189,24,313,0.6,4.42,5.89,0.08,1.74,Butter Products
48,Unsalted Butter,Aalborg Plant,2021,Winter,1711,2281,234,30,373,0.63,4.59,6.12,0.08,1.68,Butter Products
49,Heavy Cream,Copenhagen Plant,2021,Winter,1214,2832,131,22,572,0.23,2.12,4.95,0.04,2.65,Cream Products
50,Heavy Cream,Aarhus Plant,2021,Winter,1200,2800,130,22,542,0.24,2.21,5.17,0.04,2.61,Cream Products
51,Heavy Cream,Odense Plant,2021,Winter,1204,2810,130,22,522,0.25,2.31,5.38,0.04,2.58,Cream Products
52,Heavy Cream,Aalborg Plant,2021,Winter,1192,2781,129,22,497,0.26,2.4,5.6,0.04,2.54,Cream Products
53,Light Cream,Copenhagen Plant,2021,Winter,1044,2467,114,19,598,0.19,1.75,4.13,0.03,2.79,Cream Products
54,Light Cream,Aarhus Plant,2021,Winter,1078,2547,118,20,592,0.2,1.82,4.3,0.03,2.76,Cream Products
55,Light Cream,Odense Plant,2021,Winter,1037,2452,113,19,547,0.21,1.9,4.48,0.03,2.73,Cream Products
56,Light Cream,Aalborg Plant,2021,Winter,1250,2954,136,23,634,0.21,1.97,4.66,0.04,2.7,Cream Products
57,Whipping Cream,Copenhagen Plant,2021,Winter,1223,2727,127,22,501,0.25,2.44,5.44,0.04,2.53,Cream Products
58,Whipping Cream,Aarhus Plant,2021,Winter,1140,2542,118,20,447,0.26,2.55,5.69,0.04,2.49,Cream Products
59,Whipping Cream,Odense Plant,2021,Winter,1185,2644,123,21,447,0.28,2.65,5.91,0.05,2.45,Cream Products
60,Whipping Cream,Aalborg Plant,2021,Winter,1338,2985,139,24,485,0.29,2.76,6.15,0.05,2.41,Cream Products
61,Sour Cream,Copenhagen Plant,2021,Winter,1259,2878,126,22,450,0.28,2.8,6.4,0.05,2.4,Cream Products
62,Sour Cream,Aarhus Plant,2021,Winter,1392,3183,139,25,477,0.29,2.92,6.67,0.05,2.36,Cream Products
63,Sour Cream,Odense Plant,2021,Winter,1489,3403,149,27,489,0.3,3.04,6.96,0.06,2.31,Cream Products
64,Sour Cream,Aalborg Plant,2021,Winter,1420,3246,142,25,449,0.32,3.16,7.23,0.06,2.26,Cream Products
65,Cottage Cheese,Copenhagen Plant,2021,Winter,1452,3432,136,28,497,0.27,2.92,6.91,0.06,2.36,Cheese Products
66,Cottage Cheese,Aarhus Plant,2021,Winter,1519,3590,143,29,499,0.29,3.04,7.19,0.06,2.31,Cheese Products
67,Cottage Cheese,Odense Plant,2021,Winter,1608,3800,151,31,507,0.3,3.17,7.5,0.06,2.27,Cheese Products
68,Cottage Cheese,Aalborg Plant,2021,Winter,1552,3668,146,30,470,0.31,3.3,7.8,0.06,2.22,Cheese Products
69,Ice Cream,Copenhagen Plant,2021,Winter,2826,5552,313,66,790,0.4,3.58,7.03,0.08,2.09,Cream Products
70,Ice Cream,Aarhus Plant,2021,Winter,2602,5111,288,60,697,0.41,3.73,7.33,0.09,2.03,Cream Products
71,Ice Cream,Odense Plant,2021,Winter,2937,5768,325,68,755,0.43,3.89,7.64,0.09,1.97,Cream Products
72,Ice Cream,Aalborg Plant,2021,Winter,2746,5394,304,64,679,0.45,4.04,7.94,0.09,1.92,Cream Products
73,Whole Milk,Copenhagen Plant,2021,Spring,2635,8940,169,24,1227,0.14,2.15,7.29,0.02,2.67,Milk Products
74,Whole Milk,Aarhus Plant,2021,Spring,2767,9388,178,25,1235,0.14,2.24,7.6,0.02,2.64,Milk Products
75,Whole Milk,Odense Plant,2021,Spring,2785,9449,179,25,1194,0.15,2.33,7.91,0.02,2.61,Milk Products
76,Whole Milk,Aalborg Plant,2021,Spring,3009,10208,193,27,1240,0.16,2.43,8.23,0.02,2.57,Milk Products
77,Skim Milk,Copenhagen Plant,2021,Spring,2620,9269,166,22,1205,0.14,2.17,7.69,0.02,2.67,Milk Products
78,Skim Milk,Aarhus Plant,2021,Spring,2406,8513,153,20,1060,0.14,2.27,8.03,0.02,2.63,Milk Products
79,Skim Milk,Odense Plant,2021,Spring,2598,9194,165,22,1099,0.15,2.36,8.37,0.02,2.6,Milk Products
80,Skim Milk,Aalborg Plant,2021,Spring,2854,10100,181,24,1161,0.16,2.46,8.7,0.02,2.56,Milk Products
81,Organic Milk,Copenhagen Plant,2021,Spring,2905,9533,191,25,888,0.22,3.27,10.74,0.03,2.27,Milk Products
82,Organic Milk,Aarhus Plant,2021,Spring,3052,10014,200,27,894,0.22,3.41,11.2,0.03,2.22,Milk Products
83,Organic Milk,Odense Plant,2021,Spring,3549,11646,233,31,998,0.23,3.56,11.67,0.03,2.17,Milk Products
84,Organic Milk,Aalborg Plant,2021,Spring,3633,11920,238,32,982,0.24,3.7,12.14,0.03,2.12,Milk Products
85,Cheddar Cheese,Copenhagen Plant,2021,Spring,2116,4040,269,43,397,0.68,5.33,10.18,0.11,1.4,Cheese Products
86,Cheddar Cheese,Aarhus Plant,2021,Spring,2015,3847,256,41,363,0.71,5.55,10.6,0.11,1.32,Cheese Products
87,Cheddar Cheese,Odense Plant,2021,Spring,2323,4435,296,48,401,0.74,5.79,11.06,0.12,1.23,Cheese Products
88,Cheddar Cheese,Aalborg Plant,2021,Spring,2325,4439,296,48,386,0.77,6.02,11.5,0.12,1.14,Cheese Products
89,Mozzarella Cheese,Copenhagen Plant,2021,Spring,2081,3963,263,42,452,0.58,4.6,8.77,0.09,1.69,Cheese Products
90,Mozzarella Cheese,Aarhus Plant,2021,Spring,2004,3816,253,40,417,0.61,4.81,9.15,0.1,1.6,Cheese Products
91,Mozzarella Cheese,Odense Plant,2021,Spring,2003,3815,253,40,401,0.63,5.0,9.51,0.1,1.53,Cheese Products
92,Mozzarella Cheese,Aalborg Plant,2021,Spring,2363,4500,298,47,454,0.66,5.2,9.91,0.1,1.46,Cheese Products
93,Blue Cheese,Copenhagen Plant,2021,Spring,2460,4612,328,56,312,1.05,7.88,14.78,0.18,0.41,Cheese Products
94,Blue Cheese,Aarhus Plant,2021,Spring,2419,4536,323,55,294,1.1,8.23,15.43,0.19,0.27,Cheese Products
95,Blue Cheese,Odense Plant,2021,Spring,2588,4852,345,59,302,1.14,8.57,16.07,0.2,0.14,Cheese Products
96,Blue Cheese,Aalborg Plant,2021,Spring,2419,4535,322,55,271,1.19,8.93,16.73,0.2,0.0,Cheese Products
97,Cream Cheese,Copenhagen Plant,2021,Spring,1989,3978,251,40,512,0.49,3.88,7.77,0.08,1.96,Cheese Products
98,Cream Cheese,Aarhus Plant,2021,Spring,1861,3723,235,37,459,0.51,4.05,8.11,0.08,1.9,Cheese Products
99,Cream Cheese,Odense Plant,2021,Spring,1975,3950,249,40,468,0.53,4.22,8.44,0.09,1.83,Cheese Products
100,Cream Cheese,Aalborg Plant,2021,Spring,2191,4381,277,44,499,0.56,4.39,8.78,0.09,1.76,Cheese Products
101,Greek Yogurt,Copenhagen Plant,2021,Spring,1907,7630,159,37,979,0.16,1.95,7.79,0.04,2.73,Yogurt Products
102,Greek Yogurt,Aarhus Plant,2021,Spring,1719,6876,143,33,846,0.17,2.03,8.13,0.04,2.7,Yogurt Products
103,Greek Yogurt,Odense Plant,2021,Spring,1863,7452,155,36,880,0.18,2.12,8.47,0.04,2.66,Yogurt Products
104,Greek Yogurt,Aalborg Plant,2021,Spring,1914,7657,160,37,869,0.18,2.2,8.81,0.04,2.64,Yogurt Products
105,Regular Yogurt,Copenhagen Plant,2021,Spring,1435,6098,121,27,897,0.13,1.6,6.8,0.03,2.86,Yogurt Products
106,Regular Yogurt,Aarhus Plant,2021,Spring,1651,7018,139,31,989,0.14,1.67,7.1,0.03,2.83,Yogurt Products
107,Regular Yogurt,Odense Plant,2021,Spring,1775,7544,150,33,1021,0.15,1.74,7.39,0.03,2.8,Yogurt Products
108,Regular Yogurt,Aalborg Plant,2021,Spring,1747,7426,147,33,966,0.15,1.81,7.69,0.03,2.78,Yogurt Products
109,Flavored Yogurt,Copenhagen Plant,2021,Spring,1639,6554,136,31,896,0.15,1.83,7.31,0.03,2.77,Yogurt Products
110,Flavored Yogurt,Aarhus Plant,2021,Spring,1801,7204,149,34,943,0.16,1.91,7.64,0.04,2.74,Yogurt Products
111,Flavored Yogurt,Odense Plant,2021,Spring,1954,7817,162,37,983,0.16,1.99,7.95,0.04,2.71,Yogurt Products
112,Flavored Yogurt,Aalborg Plant,2021,Spring,2087,8349,173,39,1009,0.17,2.07,8.27,0.04,2.68,Yogurt Products
113,Salted Butter,Copenhagen Plant,2021,Spring,1368,1853,185,25,307,0.6,4.46,6.04,0.08,1.73,Butter Products
114,Salted Butter,Aarhus Plant,2021,Spring,1549,2099,210,28,333,0.63,4.65,6.3,0.08,1.66,Butter Products
115,Salted Butter,Odense Plant,2021,Spring,1764,2390,239,32,364,0.66,4.85,6.57,0.09,1.58,Butter Products
116,Salted Butter,Aalborg Plant,2021,Spring,1716,2325,233,31,341,0.68,5.03,6.82,0.09,1.51,Butter Products
117,Unsalted Butter,Copenhagen Plant,2021,Spring,1441,1921,197,25,355,0.55,4.06,5.41,0.07,1.88,Butter Products
118,Unsalted Butter,Aarhus Plant,2021,Spring,1552,2070,212,27,367,0.58,4.23,5.64,0.07,1.82,Butter Products
119,Unsalted Butter,Odense Plant,2021,Spring,1648,2198,225,29,374,0.6,4.41,5.88,0.08,1.75,Butter Products
120,Unsalted Butter,Aalborg Plant,2021,Spring,1500,2000,205,26,327,0.63,4.59,6.12,0.08,1.68,Butter Products
121,Heavy Cream,Copenhagen Plant,2021,Spring,1174,2740,127,22,553,0.23,2.12,4.95,0.04,2.65,Cream Products
122,Heavy Cream,Aarhus Plant,2021,Spring,1235,2881,134,23,557,0.24,2.22,5.17,0.04,2.61,Cream Products
123,Heavy Cream,Odense Plant,2021,Spring,1169,2729,127,21,507,0.25,2.31,5.38,0.04,2.58,Cream Products
124,Heavy Cream,Aalborg Plant,2021,Spring,1188,2772,129,22,495,0.26,2.4,5.6,0.04,2.54,Cream Products
125,Light Cream,Copenhagen Plant,2021,Spring,1056,2495,115,19,605,0.19,1.75,4.12,0.03,2.79,Cream Products
126,Light Cream,Aarhus Plant,2021,Spring,1049,2479,114,19,576,0.2,1.82,4.3,0.03,2.76,Cream Products
127,Light Cream,Odense Plant,2021,Spring,1131,2674,123,21,597,0.21,1.89,4.48,0.04,2.73,Cream Products
128,Light Cream,Aalborg Plant,2021,Spring,1202,2841,131,22,609,0.22,1.97,4.67,0.04,2.7,Cream Products
129,Whipping Cream,Copenhagen Plant,2021,Spring,1151,2568,120,20,472,0.25,2.44,5.44,0.04,2.53,Cream Products
130,Whipping Cream,Aarhus Plant,2021,Spring,1247,2781,129,22,490,0.26,2.54,5.68,0.04,2.5,Cream Products
131,Whipping Cream,Odense Plant,2021,Spring,1289,2874,134,23,486,0.28,2.65,5.91,0.05,2.45,Cream Products
132,Whipping Cream,Aalborg Plant,2021,Spring,1484,3310,154,26,538,0.29,2.76,6.15,0.05,2.41,Cream Products
133,Sour Cream,Copenhagen Plant,2021,Spring,1262,2884,126,23,451,0.28,2.8,6.39,0.05,2.4,Cream Products
134,Sour Cream,Aarhus Plant,2021,Spring,1510,3451,151,27,517,0.29,2.92,6.68,0.05,2.36,Cream Products
135,Sour Cream,Odense Plant,2021,Spring,1514,3460,151,27,497,0.3,3.05,6.96,0.05,2.31,Cream Products
136,Sour Cream,Aalborg Plant,2021,Spring,1430,3269,143,26,452,0.32,3.16,7.23,0.06,2.26,Cream Products
137,Cottage Cheese,Copenhagen Plant,2021,Spring,1516,3584,142,29,519,0.27,2.92,6.91,0.06,2.36,Cheese Products
138,Cottage Cheese,Aarhus Plant,2021,Spring,1649,3898,155,32,541,0.29,3.05,7.21,0.06,2.31,Cheese Products
139,Cottage Cheese,Odense Plant,2021,Spring,1828,4321,172,35,576,0.3,3.17,7.5,0.06,2.27,Cheese Products
140,Cottage Cheese,Aalborg Plant,2021,Spring,1817,4296,171,35,551,0.31,3.3,7.8,0.06,2.22,Cheese Products
141,Ice Cream,Copenhagen Plant,2021,Spring,2963,5820,328,69,828,0.4,3.58,7.03,0.08,2.09,Cream Products
142,Ice Cream,Aarhus Plant,2021,Spring,2601,5110,288,60,697,0.41,3.73,7.33,0.09,2.03,Cream Products
143,Ice Cream,Odense Plant,2021,Spring,3206,6297,355,74,824,0.43,3.89,7.64,0.09,1.97,Cream Products
144,Ice Cream,Aalborg Plant,2021,Spring,3135,6159,347,73,775,0.45,4.05,7.95,0.09,1.91,Cream Products
145,Whole Milk,Copenhagen Plant,2021,Summer,2910,9873,187,26,1356,0.14,2.15,7.28,0.02,2.67,Milk Products
146,Whole Milk,Aarhus Plant,2021,Summer,3128,10614,201,28,1397,0.14,2.24,7.6,0.02,2.64,Milk Products
147,Whole Milk,Odense Plant,2021,Summer,3339,11328,215,30,1431,0.15,2.33,7.92,0.02,2.61,Milk Products
148,Whole Milk,Aalborg Plant,2021,Summer,2942,9981,189,26,1212,0.16,2.43,8.24,0.02,2.57,Milk Products
149,Skim Milk,Copenhagen Plant,2021,Summer,2860,10122,182,24,1315,0.14,2.17,7.7,0.02,2.67,Milk Products
150,Skim Milk,Aarhus Plant,2021,Summer,2566,9080,163,22,1131,0.14,2.27,8.03,0.02,2.63,Milk Products
151,Skim Milk,Odense Plant,2021,Summer,2734,9675,174,23,1157,0.15,2.36,8.36,0.02,2.6,Milk Products
152,Skim Milk,Aalborg Plant,2021,Summer,2751,9735,175,23,1119,0.16,2.46,8.7,0.02,2.56,Milk Products
153,Organic Milk,Copenhagen Plant,2021,Summer,3132,10278,206,27,958,0.22,3.27,10.73,0.03,2.27,Milk Products
154,Organic Milk,Aarhus Plant,2021,Summer,3713,12183,244,32,1088,0.22,3.41,11.2,0.03,2.22,Milk Products
155,Organic Milk,Odense Plant,2021,Summer,3848,12627,253,34,1082,0.23,3.56,11.67,0.03,2.17,Milk Products
156,Organic Milk,Aalborg Plant,2021,Summer,3588,11773,235,31,970,0.24,3.7,12.14,0.03,2.12,Milk Products
157,Cheddar Cheese,Copenhagen Plant,2021,Summer,2088,3987,266,43,392,0.68,5.33,10.17,0.11,1.4,Cheese Products
158,Cheddar Cheese,Aarhus Plant,2021,Summer,2187,4175,278,45,394,0.71,5.55,10.6,0.11,1.32,Cheese Products
159,Cheddar Cheese,Odense Plant,2021,Summer,2375,4535,302,49,410,0.74,5.79,11.06,0.12,1.23,Cheese Products
160,Cheddar Cheese,Aalborg Plant,2021,Summer,2332,4453,297,48,387,0.77,6.03,11.51,0.12,1.14,Cheese Products
161,Mozzarella Cheese,Copenhagen Plant,2021,Summer,1958,3730,247,39,426,0.58,4.6,8.76,0.09,1.69,Cheese Products
162,Mozzarella Cheese,Aarhus Plant,2021,Summer,2353,4482,297,47,490,0.61,4.8,9.15,0.1,1.61,Cheese Products
163,Mozzarella Cheese,Odense Plant,2021,Summer,2277,4336,287,46,455,0.63,5.0,9.53,0.1,1.53,Cheese Products
164,Mozzarella Cheese,Aalborg Plant,2021,Summer,2421,4611,305,48,466,0.65,5.2,9.89,0.1,1.46,Cheese Products
165,Blue Cheese,Copenhagen Plant,2021,Summer,2247,4213,300,51,285,1.05,7.88,14.78,0.18,0.41,Cheese Products
166,Blue Cheese,Aarhus Plant,2021,Summer,2756,5167,367,63,335,1.1,8.23,15.42,0.19,0.27,Cheese Products
167,Blue Cheese,Odense Plant,2021,Summer,2887,5414,385,66,337,1.14,8.57,16.07,0.2,0.14,Cheese Products
168,Blue Cheese,Aalborg Plant,2021,Summer,2780,5213,371,64,312,1.19,8.91,16.71,0.21,0.01,Cheese Products
169,Cream Cheese,Copenhagen Plant,2021,Summer,1904,3808,240,38,490,0.49,3.89,7.77,0.08,1.96,Cheese Products
170,Cream Cheese,Aarhus Plant,2021,Summer,1885,3769,238,38,465,0.51,4.05,8.11,0.08,1.9,Cheese Products
171,Cream Cheese,Odense Plant,2021,Summer,1954,3909,247,39,463,0.53,4.22,8.44,0.08,1.83,Cheese Products
172,Cream Cheese,Aalborg Plant,2021,Summer,1965,3929,248,39,447,0.55,4.4,8.79,0.09,1.76,Cheese Products
173,Greek Yogurt,Copenhagen Plant,2021,Summer,1658,6634,138,32,851,0.16,1.95,7.8,0.04,2.73,Yogurt Products
174,Greek Yogurt,Aarhus Plant,2021,Summer,1816,7264,151,35,893,0.17,2.03,8.13,0.04,2.7,Yogurt Products
175,Greek Yogurt,Odense Plant,2021,Summer,2112,8448,176,41,997,0.18,2.12,8.47,0.04,2.66,Yogurt Products
176,Greek Yogurt,Aalborg Plant,2021,Summer,2017,8069,168,39,916,0.18,2.2,8.81,0.04,2.64,Yogurt Products
177,Regular Yogurt,Copenhagen Plant,2021,Summer,1576,6696,133,30,985,0.14,1.6,6.8,0.03,2.85,Yogurt Products
178,Regular Yogurt,Aarhus Plant,2021,Summer,1775,7544,150,33,1063,0.14,1.67,7.1,0.03,2.83,Yogurt Products
179,Regular Yogurt,Odense Plant,2021,Summer,1649,7010,139,31,948,0.15,1.74,7.39,0.03,2.8,Yogurt Products
180,Regular Yogurt,Aalborg Plant,2021,Summer,2008,8536,169,38,1110,0.15,1.81,7.69,0.03,2.78,Yogurt Products
181,Flavored Yogurt,Copenhagen Plant,2021,Summer,1668,6673,138,31,912,0.15,1.83,7.32,0.03,2.77,Yogurt Products
182,Flavored Yogurt,Aarhus Plant,2021,Summer,1865,7461,155,35,977,0.16,1.91,7.64,0.04,2.74,Yogurt Products
183,Flavored Yogurt,Odense Plant,2021,Summer,2100,8398,174,40,1056,0.16,1.99,7.95,0.04,2.71,Yogurt Products
184,Flavored Yogurt,Aalborg Plant,2021,Summer,1807,7227,150,34,874,0.17,2.07,8.27,0.04,2.68,Yogurt Products
185,Salted Butter,Copenhagen Plant,2021,Summer,1677,2272,227,30,376,0.6,4.46,6.04,0.08,1.73,Butter Products
186,Salted Butter,Aarhus Plant,2021,Summer,1780,2411,241,32,383,0.63,4.65,6.3,0.08,1.66,Butter Products
187,Salted Butter,Odense Plant,2021,Summer,1788,2423,242,32,369,0.66,4.85,6.57,0.09,1.58,Butter Products
188,Salted Butter,Aalborg Plant,2021,Summer,1753,2375,238,32,348,0.68,5.04,6.82,0.09,1.51,Butter Products
189,Unsalted Butter,Copenhagen Plant,2021,Summer,1553,2071,212,27,383,0.55,4.05,5.41,0.07,1.89,Butter Products
190,Unsalted Butter,Aarhus Plant,2021,Summer,1443,1924,197,25,341,0.58,4.23,5.64,0.07,1.82,Butter Products
191,Unsalted Butter,Odense Plant,2021,Summer,1814,2419,248,31,411,0.6,4.41,5.89,0.08,1.75,Butter Products
192,Unsalted Butter,Aalborg Plant,2021,Summer,1764,2353,241,31,385,0.63,4.58,6.11,0.08,1.68,Butter Products
193,Heavy Cream,Copenhagen Plant,2021,Summer,1156,2698,125,21,545,0.23,2.12,4.95,0.04,2.65,Cream Products
194,Heavy Cream,Aarhus Plant,2021,Summer,1173,2737,127,22,529,0.24,2.22,5.17,0.04,2.61,Cream Products
195,Heavy Cream,Odense Plant,2021,Summer,1416,3303,153,26,613,0.25,2.31,5.39,0.04,2.58,Cream Products
196,Heavy Cream,Aalborg Plant,2021,Summer,1492,3482,162,27,622,0.26,2.4,5.6,0.04,2.54,Cream Products
197,Light Cream,Copenhagen Plant,2021,Summer,1130,2670,123,21,647,0.19,1.75,4.13,0.03,2.79,Cream Products
198,Light Cream,Aarhus Plant,2021,Summer,1213,2868,132,22,666,0.2,1.82,4.31,0.03,2.76,Cream Products
199,Light Cream,Odense Plant,2021,Summer,1259,2976,137,23,664,0.21,1.9,4.48,0.03,2.73,Cream Products
200,Light Cream,Aalborg Plant,2021,Summer,1223,2890,133,22,620,0.21,1.97,4.66,0.04,2.7,Cream Products
201,Whipping Cream,Copenhagen Plant,2021,Summer,1366,3048,142,24,560,0.25,2.44,5.44,0.04,2.53,Cream Products
202,Whipping Cream,Aarhus Plant,2021,Summer,1431,3192,149,25,562,0.27,2.55,5.68,0.04,2.49,Cream Products
203,Whipping Cream,Odense Plant,2021,Summer,1468,3275,152,26,553,0.27,2.65,5.92,0.05,2.45,Cream Products
204,Whipping Cream,Aalborg Plant,2021,Summer,1413,3152,147,25,512,0.29,2.76,6.16,0.05,2.41,Cream Products
205,Sour Cream,Copenhagen Plant,2021,Summer,1279,2923,128,23,457,0.28,2.8,6.4,0.05,2.4,Cream Products
206,Sour Cream,Aarhus Plant,2021,Summer,1343,3069,134,24,460,0.29,2.92,6.67,0.05,2.36,Cream Products
207,Sour Cream,Odense Plant,2021,Summer,1409,3221,141,25,463,0.3,3.04,6.96,0.05,2.31,Cream Products
208,Sour Cream,Aalborg Plant,2021,Summer,1474,3370,147,26,466,0.32,3.16,7.23,0.06,2.26,Cream Products
209,Cottage Cheese,Copenhagen Plant,2021,Summer,1531,3619,144,30,524,0.27,2.92,6.91,0.06,2.36,Cheese Products
210,Cottage Cheese,Aarhus Plant,2021,Summer,1727,4082,162,33,567,0.29,3.05,7.2,0.06,2.31,Cheese Products
211,Cottage Cheese,Odense Plant,2021,Summer,1724,4074,162,33,543,0.3,3.17,7.5,0.06,2.27,Cheese Products
212,Cottage Cheese,Aalborg Plant,2021,Summer,1703,4025,160,33,516,0.31,3.3,7.8,0.06,2.22,Cheese Products
